Nama,Program Studi
OKTANITA JAYA ANGGRAENI,Manajemen Agribisnis (D3)
DEGITA DANUR SUHARSONO,Produksi Media (D4)
ESTIN ROSO PRISTIWANINGSIH,Manajemen Agribisnis (Kampus Kab. Nganjuk) (D3)
FAISAL LUTFI AFRIANSYAH,Manajemen Informatika (D3)
NIYALATUL MUNA,Manajemen Informasi Kesehatan (D4)
HUSIN HUSIN,Manajemen Informatika (D3)
GALIH PURNASARI,Gizi Klinik (D4)
RADITYA ARIEF PRATAMA,Teknik Informatika (Kampus Kab Nganjuk) (D4)
AGUS SETIA BUDI,Bahasa Inggris (D3)
DINIAL UTAMI NURUL QOMARIAH,Teknik Informatika (D4)
DHARWIN SISWANTORO,Manajemen Bisnis Unggas (D4)
SUPRIYONO,Keteknikan Pertanian (D3)
UJANG SETYOKO,Pengelolaan Perkebunan Kopi (D4)
R ALAMSYAH SUTANTIO,Manajemen Pemasaran Internasional (D4)
ELIS RAHMAWATI MAR'ATUS SHOLIHAH,Manajemen Agribisnis (Kampus. Kab Ngawi) (D4)
DENNY WIJANARKO,Teknik Komputer (D3)
SUMARLINA,Manajemen Agribisnis (Kampus Kab. Nganjuk) (D3)
CHOLYUBI YUSUF,Unknown
AMALIA DWI MARSEVA,Manajemen Agroindustri (D4)
WENNY DHAMAYANTHI,Manajemen Agroindustri (D4)
YOGISWARA,Teknik Komputer (D3)
RADEN RORO LIA CHAIRINA,Manajemen Pemasaran Internasional (D4)
NUGROHO SETYO WIBOWO,Teknik Informatika (D4)
NILA SUSANTI,Bahasa Inggris (D3)
TRISNANI ALIF,Teknologi Produksi Tanaman Pangan (D4)
KHEN DEDES,Teknik Informatika (D4)
ALWAN ABDURAHMAN,Manajemen Agribisnis (D3)
TAUFIQ RAHMAN HUMAIDI,Manajemen Agroindustri (Kampus Kab Sidoarjo) (D4)
DWI DJOKO SURANTO,Mesin Otomotif (D4)
HERI WARSITO,Gizi Klinik (D4)
KASUTJIANINGATI,Unknown
SUMADI,Unknown
ARIESIA AYUNING GEMAPUTRI,Manajemen Agroindustri (D4)
MOHAMMAD EDWINSYAH YANUAN PUTRA,Manajemen Agribisnis (Kampus. Kab Ngawi) (D4)
DINU SAADILLAH,Manajemen Agribisnis (Kampus. Kab Ngawi) (D4)
ENIK RUKIATI,Bahasa Inggris (D3)
MOCHAMMAD SYARIEF,Unknown
WAHYU WINARNO,Unknown
ASTRID HIDAYANTI ANANDA PUTRI,Produksi Media (D4)
ASEP SAMSUDIN,Produksi Media (D4)
REZHA ISYRAQI QASTALANO,Bisnis Digital (D4)
SHABRINA CHOIRUNNISA,Teknik Komputer (D3)
SRI RAHAYU,Unknown
RIFQI AJI WIDARSO,Teknik Informatika (Kampus Kab. Sidoarjo) (D4)
LULUK CAHYO WIYONO,Manajemen Agribisnis (D3)
LUKMAN HAKIM,Bisnis Digital (D4)
SALSABILA LIANDRA PUTRI,Teknologi Rekayasa Mekatronika (D4)
